"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.131053790E-1,1.180528927E1,-7.179963589E0,2.815454960E0
7.155012650E-1,1.208076286E1,-7.189534664E0,3.021237612E0
7.178971500E-1,1.232243824E1,-7.160820961E0,3.358924866E0
7.202922020E-1,1.271755314E1,-7.177570820E0,3.485744476E0
7.226873060E-1,1.324666595E1,-7.208677292E0,3.531208038E0
7.250831920E-1,1.381645679E1,-7.261319637E0,3.516851187E0
7.274790250E-1,1.442931843E1,-7.318747044E0,3.485744476E0
7.298741290E-1,1.508285809E1,-7.354639530E0,3.447459221E0
7.322692330E-1,1.567418480E1,-7.390532017E0,3.428316593E0
7.346651190E-1,1.627029610E1,-7.426424026E0,3.385245800E0
7.370609520E-1,1.680180168E1,-7.459923744E0,3.382853031E0
7.394560560E-1,1.721845245E1,-7.450352192E0,3.416352510E0
7.418511610E-1,1.763001823E1,-7.416852951E0,3.452244759E0
7.442470460E-1,1.797727585E1,-7.313961506E0,3.500101328E0
7.466428790E-1,1.827907181E1,-7.172784805E0,3.535993576E0
7.490379310E-1,1.849921036E1,-6.882954121E0,3.579064369E0
7.514330360E-1,1.873610115E1,-6.770491600E0,3.610171080E0
7.538289730E-1,1.890868187E1,-6.667600155E0,3.612564087E0
7.562248060E-1,1.905943108E1,-6.535995007E0,3.545564890E0
7.586198580E-1,1.919342804E1,-6.320342064E0,3.385245800E0
7.610149630E-1,1.929153442E1,-5.899205208E0,3.330210924E0
7.634109000E-1,1.928674889E1,-5.535196781E0,3.179463148E0
7.658067330E-1,1.921974945E1,-5.362913609E0,2.894418001E0
7.682017860E-1,1.916232109E1,-5.252544880E0,2.506481647E0
7.705968900E-1,1.916950035E1,-5.164010525E0,2.181057930E0
7.729927750E-1,1.916232109E1,-5.027619362E0,1.872084618E0
7.753886610E-1,1.919582176E1,-4.919942379E0,1.661516190E0
7.777837130E-1,1.921974945E1,-4.539184570E0,1.692622900E0
7.801788170E-1,1.911446571E1,-4.438685894E0,1.395613790E0
7.825747020E-1,1.901635933E1,-4.455435753E0,1.024726272E0
7.849705880E-1,1.904746628E1,-4.508078098E0,5.793621540E-1
7.873656400E-1,1.916950035E1,-4.532006264E0,2.679961324E-1
7.897607440E-1,1.931307030E1,-4.462614059E0,7.896314561E-2
7.921566290E-1,1.940429688E1,-4.323830605E0,-1.196411345E-2
7.945525150E-1,1.949283028E1,-3.888037682E0,1.124626622E-1
7.969475670E-1,1.929153442E1,-3.847359657E0,-2.057827413E-1
7.993426710E-1,1.908814430E1,-3.962215185E0,-6.200401783E-1
8.017385560E-1,1.907378769E1,-4.098606110E0,-9.457631707E-1
8.041343900E-1,1.917907143E1,-4.134498596E0,-1.130010486E0
8.065294940E-1,1.922692871E1,-4.117748737E0,-1.149153113E0
8.089245980E-1,1.908814430E1,-4.055535316E0,-1.063011408E0
8.113204830E-1,1.856860352E1,-3.856930971E0,-7.492526174E-1
8.137163170E-1,1.798445511E1,-3.878466368E0,-5.291129351E-1
8.161114210E-1,1.766591072E1,-4.043570995E0,-6.272186637E-1
8.185065250E-1,1.768295860E1,-4.100998878E0,-5.841478109E-1
8.209024110E-1,1.790549278E1,-4.177569389E0,-3.903291821E-1
8.232982440E-1,1.808256149E1,-4.191926003E0,-2.368894368E-1
8.256932960E-1,1.823809433E1,-4.201497555E0,-1.818545163E-1
8.280884000E-1,1.838435555E1,-4.201497555E0,-1.124626622E-1
8.304843380E-1,1.848485374E1,-4.201497555E0,-4.785645381E-2
8.328801710E-1,1.842981911E1,-4.163212299E0,1.938186288E-1
